Letter;stats
a;60076
b;15861
c;35632
d;28679
e;71312
f;10213
g;22063
h;20890
i;62067
j;1373
k;5522
l;43138
m;25502
n;51921
o;48487
p;26033
q;1814
r;55180
s;43672
t;51652
u;29759
v;8819
w;5961
x;2956
y;17547
z;3150
